What did Voithos notice,What does Voithos can do,Voithos Language,What does the patient approve,What is language of the document,What happens after approval,Where can the patient find it later
,recommend follow up actions,,,,,
administrative actions,complete forms,,,,,
,prefill questionnaires,,,,,
,organize uploaded documents,,,,,
,detect missing documentation,,,,,
,catagorize files and needs,,,,,
,generate timelines,,,,,
,maintain care task lists,,,,,
Friction reduction actions,detect unresolved friction,,,,,
,prioritize open actions,,,,,
,predict escalation risk,,,,,
,identify navigation bottlenecks,,,,,
,recommend next best actions,,,,,
